Month,MY2011,MY2012,MY2013,MY2014,MY2015
Jan-16,39000,42000,44000,N/A,N/A
Mar,35000,38000,37000,N/A,N/A
May,34000,36000,37000,N/A,N/A
Jul,33000,33000,37000,N/A,N/A
Sep,33000,31000,37000,N/A,N/A
Nov,33000,28000,35000,N/A,N/A
Jan-17,32000,27000,33000,N/A,N/A
Mar,25000,27000,33000,48000,N/A
May,22000,26000,31000,38000,N/A
Jul,22000,27000,30000,35000,N/A
Sep,22000,24000,32000,41000,N/A
Nov,21000,23000,34000,37000,N/A
Jan-18,20000,24000,32000,34000,N/A
Mar,24000,25000,31000,31000,N/A
May,22000,25000,35000,34000,N/A
Jul,20000,24000,33000,33000,N/A
Sep,20000,24000,32000,33000,N/A
Nov,21000,24000,33000,31000,N/A
Jan-19,20000,24000,31000,30000,N/A
Mar,38000,25000,28000,30000,40000
May,35000,22000,25000,32000,44000
Jul,31000,18000,15000,26000,27000
